"Sigle","Titre","Semestre dans le cursus","Aide à l'inscription pédagogique","Type du module","Auditeurs libres acceptés","Cours électifs / Contient des cours électifs","Cours électifs / Date de début des choix de cours électifs","Cours électifs / Date de fin des choix de cours électifs","Cours électifs / Message période ouverte","Cours électifs / Message si hors période","Cours électifs / Nombre de choix max étudiant","Notation / Moyenne minimale du module"
"UE1.M1.DG.S2","UE1-Cours de secteur.M1.DG.S2","8ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M1.DO.S1","UE1-Cours de secteur.M1.DO.S1","7ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M1.DO.S2","UE1-Spécialisation.M1.DO.S2","8ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M1.DT.S1","UE1-Cours de spécialisation.M1.DT.S1","7ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M1.DT.S2","UE1-Cours de secteur.M1.DT.S2","8ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M1.DV.S1","UE1-Cours de secteur.M1.DV.S1","7ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M1.DV.S2","UE1-Cours de secteur.M1.DV.S2","8ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M1.II.S1","UE1-Cours de secteur.M1.II.S1","7ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M1.II.S2","UE1-Cours de secteur.M1.II.S2","8ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M1.PV.S1","UE1-Cours de secteur.M1.PV.S1","7ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M1.PV.S2","UE1-Cours de secteur.M1.PV.S2","8ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M1.SC.S1","UE1-Cours de secteur.M1.SC.S1","7ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M1.SC.S2","UE1-Cours de secteur.M1.SC.S2","8ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M2.AE.S1","UE1-Projet de diplôme et cours de secteur.M2.AE.S1","9ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M2.AE.S2","UE1-Projet de diplôme et cours de spécialisation.M2.AE.S2","10ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M2.CA.S1","UE1-Spécialisation.M2.CA.S1","9ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M2.CA.S2","UE1-Projet de diplôme et cours de secteur.M2.CA.S2","10ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M2.DA.S1","UE1-Projet de diplôme et cours de secteur.M2.DA.S1","9ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M2.DA.S2","UE1-Projet de diplôme et cours de secteur.M2.DA.S2","10ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M2.DG.S1","UE1-Projet de diplôme et cours de secteur.M2.DG.S1","9ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M2.DG.S2","UE1-Projet de diplôme et cours de secteur.M2.DG.S2","10ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M2.DO.S1","UE1-Projet de diplôme et cours de secteur.M2.DO.S1","9ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M2.DO.S2","UE1-Projet de diplôme et cours de secteur.M2.DO.S2","10ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M2.DT.S1","UE1-Projet de diplôme et cours de secteur.M2.DT.S1","9ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M2.DT.S2","UE1-Projet de diplôme et cours de secteur.M2.DT.S2","10ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M2.DV.S1","UE1-Projet de diplôme et cours de secteur.M2.DV.S1","9ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M2.DV.S2","UE1-Projet de diplôme et cours de secteur.M2.DV.S2","10ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M2.II.S1","UE1-Projet de diplôme et cours de secteur.M2.II.S1","9ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M2.II.S2","UE1-Projet de diplôme et cours de spécialisation.M2.II.S2","10ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M2.PV.S1","UE1-Cours de secteur.M2.PV.S1","9ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M2.PV.S2","UE1-Projet de diplôme et cours de secteur.M2.PV.S2","10ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M2.SC.S1","UE1-Projet de diplôme et cours de secteur.M2.SC.S1","9ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE1.M2.SC.S2","UE1-Projet de diplôme et cours de secteur.M2.SC.S2","10ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.L2.AE.S2","UE2-Cours transversaux.L2.AE.S2","4ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.L2.CA.S2","UE2-Cours transversaux.L2.CA.S2","4ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.L2.DO.S2","UE2-Cours transversaux.L2.DO.S2","4ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.L2.DT.S2","UE2-Cours transversaux.L2.DT.S2","4ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.L2.DV.S2","UE2-Théorie et sensibilisation à la recherche.L2.DV.S2","4ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.L2.II.S2","UE2-Cours transversaux.L2.II.S2","4ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.L2.SC.S2","UE2-Théorie et sensibilisation à la recherche.L2.SC.S2","4ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.L2.TR.S1","UE2-Cours transversaux.L2.S1","3ème semestre","","","Non","Oui","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.L2.TR.S2","UE2-Cours transversaux.L2.S2","4ème semestre","","","Non","Oui","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.L3.TR.S1","UE2-Cours transversaux.L3.TR.S1","5ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.L3.TR.S2","UE2-Cours transversaux.L3.TR.S2","6ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M1.CA.S1","UE2-Théorie et initiation à la recherche.M1.CA.S1","7ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M1.CA.S2","UE2-Théorie et initiation à la recherche.M1.CA.S2","8ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M1.DA.S1","UE2-Théorie et initiation à la recherche.M1.DA.S1","7ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M1.DA.S2","UE2-Théorie et initiation à la recherche.M1.DA.S2","8ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M1.DG.S1","UE2-Théorie et initiation à la recherche.M1.DG.S1","7ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M1.DG.S2","UE2-Théorie et initiation à la recherche.M1.DG.S2","8ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M1.DO.S1","UE2-Théorie et initiation à la recherche.M1.DO.S1","7ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M1.DO.S2","UE2-Théorie et initiation à la recherche.M1.DO.S2","8ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M1.DT.S1","UE2-Théorie et initiation à la recherche.M1.DT.S1","7ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M1.DT.S2","UE2-Théorie et initiation à la recherche.M1.DT.S2","8ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M1.DV.S1","UE2-Théorie et initiation à la recherche.M1.DV.S1","7ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M1.DV.S2","UE2-Théorie et initiation à la recherche.M1.DV.S2","8ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M1.II.S1","UE2-Théorie et initiation à la recherche.M1.II.S1","7ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M1.II.S2","UE2-Théorie et initiation à la recherche.M1.II.S2","8ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M1.PV.S1","UE2-Théorie et initiation à la recherche.M1.PV.S1","7ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M1.PV.S2","UE2-Théorie et initiation à la recherche.M1.PV.S2","8ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M1.SC.S1","UE2-Théorie et initiation à la recherche.M1.SC.S1","7ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M1.SC.S2","UE2-Théorie et initiation à la recherche.M1.SC.S2","8ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M1.TR.S1","UE2-Théorie et initiation à la recherche.M1.TR.S1","7ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M1.TR.S2","UE2-Théorie et initiation à la recherche.M1.TR.S2","8ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M2.AE.S2","UE2-Professionalisation.M2.AE.S2","10ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M2.CA.S2","UE2-Théorie et initiation à la recherche.M2.CA.S2","10ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M2.DA.S1","UE2-Théorie et initiation à la recherche.M2.DA.S1","9ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M2.DA.S2","UE2-Professionnalisation.M2.DA.S2","10ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M2.DG.S1","UE2-Professionalisation.M2.DG.S1","9ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M2.DG.S2","UE2-Professionalisation.M2.DG.S2","10ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M2.DO.S1","UE2-Théorie et initiation à la recherche.M2.DO.S1","9ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M2.DO.S2","UE2-Professionnalisation.M2.DO.S2","10ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M2.DT.S1","UE2-Théorie et initiation à la recherche.M2.DT.S1","9ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M2.DT.S2","UE2-Professionnalisation.M2.DT.S2","10ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE2.M2.TR.S1","UE2-Professionalisation.M2.TR.S1","9ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
