"Sigle","Titre","Semestre dans le cursus","Aide à l'inscription pédagogique","Type du module","Auditeurs libres acceptés","Cours électifs / Contient des cours électifs","Cours électifs / Date de début des choix de cours électifs","Cours électifs / Date de fin des choix de cours électifs","Cours électifs / Message période ouverte","Cours électifs / Message si hors période","Cours électifs / Nombre de choix max étudiant","Notation / Moyenne minimale du module"
"UE3.L2.II.S2","UE3-Fondamentaux théoriques.L2.II.S2","4ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L2.PV.S1","UE3-Fondamentaux théoriques.L2.PV.S1","3ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L2.PV.S2","UE3-Fondamentaux théoriques.L2.PV.S2","4ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L2.SC.S1","UE3-Fondamentaux théoriques.L2.SC.S1","3ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L2.SC.S2","UE3-Fondamentaux théoriques.L2.SC.S2","4ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L3.AE.S1","UE3-Théorie et sensibilisation à la recherche.L3.AE.S1","5ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L3.AE.S2","UE3-Théorie et sensibilisation à la recherche.L3.AE.S2","6ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L3.CA.S1","UE3-Théorie et sensibilisation à la recherche.L3.CA.S1","5ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L3.CA.S2","UE3-Théorie et sensibilisation à la recherche.L3.CA.S2","6ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L3.DA.S1","UE3-Professionalisation.L3.DA.S1","5ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L3.DA.S2","UE3-Théorie et sensibilisation à la recherche.L3.DA.S2","6ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L3.DG.S1","UE3-Théorie et sensibilisation à la recherche.L3.DG.S1","5ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L3.DG.S2","UE3-Théorie et sensibilisation à la recherche.L3.DG.S2","6ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L3.DO.S1","UE3-Théorie et sensibilisation à la recherche.L3.DO.S1","5ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L3.DO.S2","UE3- Théorie et sensibilisation à la recherche.L3.DO.S2","6ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L3.DT.S1","UE3-Théorie et sensibilisation à la recherche L3.DT.S1","5ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L3.DT.S2","UE3- Théorie et sensibilisation à la recherche.L3.DT.S2","6ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L3.DV.S1","UE3-Théorie et sensibilisation à la recherche.L3.DV.S1","5ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L3.DV.S2","UE3-Théorie et sensibilisation à la recherche.L3.DV.S2","6ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L3.II.S1","UE3-Professionalisation.L3.II.S1","5ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L3.II.S2","UE3-Professionalisation.L3.II.S2","6ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L3.PV.S1","UE3-Théorie et sensibilisation à la recherche.L3.PV.S1","5ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L3.PV.S2","UE3-Théorie et sensibilisation à la recherche.L3.PV.S2","6ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L3.SC.S1","UE3-Théorie et sensibilisation à la recherche.L3.SC.S1","5ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.L3.SC.S2","UE3-Théorie et sensibilisation à la recherche.L3.SC.S2","6ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M1.CA.S1","UE3-Professionalisation.M1.CA.S1","7ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M1.CA.S2","UE3-Professionalisation.M1.CA.S2","8ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M1.DA.S1","UE3-Professionalisation.M1.DA.S1","7ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M1.DA.S2","UE3-Professionalisation.M1.DA.S2","8ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M1.DG.S2","UE3-Professionalisation.M1.DG.S2","8ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M1.DO.S1","UE3-Professionalisation.M1.DO.S1","7ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
"UE3.M1.DO.S2","UE3-Professionalisation.M1.DO.S2","8ème semestre","","","Non","Non","Mercredi 27 mai 2026 à 21:16","Mercredi 27 mai 2026 à 21:16","","","","0"
